First Name (AR),Last Name (AR),Role/Type,Account ID,Account Number,Parent Account,Username (EN),Password,Mobile,Create Date,Expiry Date,Status
جواهر,الحكير,Agent Individual,A,A-523490807,,jalhkyr91,test1234,530245231,09/10/2023,05/04/2026,Active
وليد,الدوسري,Agent Individual,A,A-526971158,,waldwsry14,test1234,564597421,22/11/2024,19/10/2023,Not Active
سلمان,النفيعي,Agent Individual,A,A-701465603,,salnfyay42,test1234,555219236,24/03/2024,16/07/2027,Active
نجلاء,الجميح,Agent Individual,A,A-619683136,,naljmyh36,test1234,551402889,28/04/2025,15/09/2025,Active
نورة,العجمي,Agent Individual,A,A-243199793,,nalajmy23,test1234,543431378,10/12/2023,17/10/2026,Active
هيا,البلوي,Agent Individual,A,A-286288461,,halblwy78,test1234,551521307,04/04/2025,06/05/2024,Not Active
طلال,البابطين,Agent Individual,A,A-406700870,,talbabtyn72,test1234,513965333,07/02/2025,02/06/2026,Active
سارة,القرني,Agent Individual,A,A-582699185,,salqrny21,test1234,535516380,18/06/2024,16/02/2027,Active
حسن,العصيمي,Agent Individual,A,A-306312618,,halasymy51,test1234,554289842,20/03/2024,31/10/2025,Active
رنا,التركي,Agent Individual,A,A-777005442,,raltrky52,test1234,553033920,27/05/2025,11/08/2026,Active
سلطان,المالكي,Agent Individual,A,A-878316442,,salmalky33,test1234,571703586,25/03/2025,12/03/2024,Not Active
ريان,الحربي,Agent Individual,A,A-479571331,,ralhrby21,test1234,576662024,01/06/2024,20/03/2025,Not Active
فهد,الزهراني,Agent Individual,A,A-127166946,,falzhrany92,test1234,584389191,06/12/2024,09/07/2027,Active
إبراهيم,المالكي,Agent Individual,A,A-877125864,,ialmalky66,test1234,565134140,11/09/2024,12/09/2025,Not Active
ناصر,الزهراني,Agent Individual,A,A-313049757,,nalzhrany16,test1234,546434819,03/08/2025,04/09/2024,Not Active
نوف,البراهيم,Agent Individual,A,A-288714246,,nalbrahym86,test1234,581931357,05/07/2025,02/08/2027,Active
جواهر,الغامدي,Agent Individual,A,A-880664752,,jalghamdy87,test1234,583019943,21/09/2024,09/01/2024,Not Active
مريم,الجفالي,Agent Individual,A,A-110798950,,maljfaly18,test1234,545475864,22/05/2024,23/03/2024,Not Active
نوف,السويلم,Agent Individual,A,A-283575951,,nalswylm83,test1234,581222748,14/06/2024,18/09/2026,Active
فهد,العقيل,Agent Individual,A,A-284401768,,falaqyl21,test1234,528568278,06/03/2024,30/04/2026,Active
نجلاء,السبيعي,Agent Individual,A,A-640774422,,nalsbyay91,test1234,595152703,05/01/2025,05/02/2026,Active
راكان,المحمدي,Corporate Account,C,C-108727934,,ralmhmdy32,test1234,573151349,06/01/2024,14/12/2023,Not Active
تميم,الرشيدي,Corporate Account,C,C-880076233,,talrshydy44,test1234,565397672,03/05/2024,17/11/2026,Active
ماجد,الرويشد,Corporate Account,C,C-971457383,,malrwyshd34,test1234,588300587,02/09/2024,08/10/2025,Active
تركي,العوفي,Corporate Account,C,C-393315830,,talawfy71,test1234,549962820,21/05/2025,07/06/2024,Not Active
عمر,الرشيدي,Corporate Account,C,C-753425937,,aalrshydy17,test1234,586524451,31/03/2025,19/06/2026,Active
لطيفة,العسيري,Corporate Account,C,C-927225037,,lalasyry27,test1234,555146431,03/11/2024,22/12/2023,Not Active
ياسر,الغامدي,Corporate Account,C,C-473624237,,yalghamdy81,test1234,588350057,02/03/2025,28/07/2025,Not Active
عمر,الهذلول,Corporate Account,C,C-566120144,,aalhdhlwl52,test1234,542435244,18/08/2024,04/01/2027,Active
ناصر,المهيدب,Corporate Account,C,C-214090621,,nalmhydb17,test1234,567087305,28/09/2024,09/01/2025,Not Active
سلطان,الماجد,Corporate Account,C,C-799698166,,salmajd59,test1234,546488857,04/10/2024,20/08/2024,Not Active
هند,القرني,Corporate Account,C,C-103442565,,halqrny53,test1234,567008084,04/12/2024,11/08/2026,Active
دلال,البوعينين,Corporate Account,C,C-208295444,,dalbwaynyn64,test1234,570668169,13/06/2025,01/01/2025,Not Active
وليد,البوعينين,Corporate Account,C,C-126822773,,walbwaynyn18,test1234,512119817,03/01/2024,18/11/2025,Active
حسن,الرويشد,Corporate Account,C,C-352317574,,halrwyshd48,test1234,597999639,20/09/2023,15/10/2025,Active
وليد,القحطاني,Corporate Account,C,C-291125239,,walqhtany31,test1234,545930494,04/03/2024,18/06/2024,Not Active
بندر,الجفالي,Corporate Account,C,C-387999827,,baljfaly70,test1234,545654827,04/03/2024,12/08/2024,Not Active
سلطان,الدوسري,Corporate Account,C,C-213809803,,saldwsry91,test1234,551701370,03/12/2023,15/10/2025,Active
يزيد,الرويشد,Corporate Account,C,C-670335079,,yalrwyshd74,test1234,595160584,31/01/2024,22/03/2025,Not Active
رنا,الشمعة,Corporate Account,C,C-673455351,,ralshmah93,test1234,557243327,08/11/2024,22/10/2026,Active
ياسر,الحربي,Corporate Account,C,C-581924369,,yalhrby41,test1234,570617338,27/07/2025,21/01/2026,Active
ديمة,الهذلول,Corporate Account,C,C-435599625,,dalhdhlwl86,test1234,552446914,23/07/2025,15/10/2025,Active
